Trial,Task,Mode,Name,Cuisine,Rating,Reviews,Distance,Price,Score,N_Audio,R_Name,R_Audio_Prompt,R_Audio_Confirm,R_Name_Incorrect,R_Audio_Incorrect
15,Nav Easy,Visual Only,Udon Now,Japanese,2,107,11,$,0,NA,NA,NA,NA,NA,NA
15,Nav Easy,Visual Only,Olive Tree Cafe,Greek,4,43,13.8,$,0,NA,NA,NA,NA,NA,NA
15,Nav Easy,Visual Only,Barolo,Italian,1,103,2.7,$$,0,NA,NA,NA,NA,NA,NA
15,Nav Easy,Visual Only,Brewed Awakening,Italian,4,8,3.1,$$,0,NA,NA,NA,NA,NA,NA
15,Nav Easy,Visual Only,Heavenly Havana,Cuban,4,1,7.2,$,0,NA,NA,NA,NA,NA,NA
16,Nav Easy,Visual Only,Cedar,American,4,41,0.1,$$,0,NA,NA,NA,NA,NA,NA
16,Nav Easy,Visual Only,Rock Bottom Brewery,American,3.5,12,13.8,$,0,NA,NA,NA,NA,NA,NA
16,Nav Easy,Visual Only,Forbidden City,Chinese,5,89,18.2,$$,0,NA,NA,NA,NA,NA,NA
16,Nav Easy,Visual Only,Alpha Pi,American,3.5,39,8.2,$$,0,NA,NA,NA,NA,NA,NA
16,Nav Easy,Visual Only,Gyro Hut,Greek,3,95,8.9,$,0,NA,NA,NA,NA,NA,NA
17,Nav Easy,Visual Only,The Pita Pit,Greek,5,104,11.2,$,0,NA,NA,NA,NA,NA,NA
17,Nav Easy,Visual Only,National Treasure,American,4.5,63,2.3,$,0,NA,NA,NA,NA,NA,NA
17,Nav Easy,Visual Only,Southern Kitchen,American,4,133,3.2,$,0,NA,NA,NA,NA,NA,NA
17,Nav Easy,Visual Only,The List,Italian,4.5,245,5.3,$$$,0,NA,NA,NA,NA,NA,NA
17,Nav Easy,Visual Only,Yin and Yam,Chinese,2,5,8,$$,0,NA,NA,NA,NA,NA,NA
18,Nav Easy,Visual Only,Ginger Palace,Chinese,5,3,23.5,$,0,NA,NA,NA,NA,NA,NA
18,Nav Easy,Visual Only,Macho Taco,Mexican,3,55,3,$$,0,NA,NA,NA,NA,NA,NA
18,Nav Easy,Visual Only,The Hunger Gains,American,3,75,3.3,$$$,0,NA,NA,NA,NA,NA,NA
18,Nav Easy,Visual Only,Coho Restaurant,Seafood,3.5,1,8,$$,0,NA,NA,NA,NA,NA,NA
18,Nav Easy,Visual Only,District Taco,Mexican,4.5,81,8.4,$,0,NA,NA,NA,NA,NA,NA
19,Nav Easy,Visual Only,Ezme,Turkish,4,114,10.6,$$$,0,NA,NA,NA,NA,NA,NA
19,Nav Easy,Visual Only,The Pineapple Room,Hawaiian,3.5,31,11.5,$$$,0,NA,NA,NA,NA,NA,NA
19,Nav Easy,Visual Only,Wok Right In,Japanese,3.5,141,13.4,$,0,NA,NA,NA,NA,NA,NA
19,Nav Easy,Visual Only,Betty's Bakery,French,2,150,17.4,$,0,NA,NA,NA,NA,NA,NA
19,Nav Easy,Visual Only,Burger King,American,3,54,6.6,$,0,NA,NA,NA,NA,NA,NA
